VAR	Q309	MEDIAN	Q691
NFYA	2372	2859	3437
STPG1	60	92	131
ENPP4	70	162	372
SEMA3F	84	290	675
LAP3	1540	1968	2555
CD99	4678	7809	12273
HS3ST1	10	22	52
HECW1	6	30	167
MAD1L1	1072	1340	1674
LASP1	3729	4537	5463
KLHL13	3	6	15
DBNDD1	15	37	84
ALS2	518	622	739
CASP10	1106	1442	1915
TFPI	19	45	133
PLXND1	3044	5075	7607
CD38	2012	3442	5806
FKBP4	409	682	1064
PDK4	22	64	206
SLC22A16	492	692	882
SLC25A13	451	535	638
HCCS	265	329	424
SKAP2	418	806	1293
MCUB	710	984	1307
THSD7A	26	112	480
ACSM3	65	104	173
PRKAR2B	354	644	1076
TSPOAP1	2829	4338	6845
ABCB4	106	268	535
SOX8	5	10	22
ZNF195	1198	1438	1704
ITGAL	1610	2454	3511
ITGA3	15	24	42
YBX2	2	4	8
TMEM132A	6	12	27
AP2B1	4187	4850	5664
SPATA20	482	686	935
MAP3K9	45	92	206
RALA	661	832	1018
KDM7A	1430	1912	2518
ALDH3B1	245	539	906
FARP2	785	988	1263
TBXA2R	74	140	255
ARHGAP44	22	41	74
SCIN	0	1	3
ARSD	977	1496	2126
PNPLA4	49	79	117
PROM1	70	228	858
CEACAM21	429	582	785
PAFAH1B1	3873	4874	5983
NOS2	23	134	412
GAS7	3260	5096	7209
MATK	142	330	621
SCN4A	58	112	249
RHBDF1	21	39	78
CACNA2D2	64	118	222
TEAD3	5	9	18
E2F2	2644	4102	6220
ADAM22	54	90	151
SYPL1	1309	1709	2138
CYB561	204	354	536
CELSR3	71	107	160
AASS	278	708	1135
NFIX	407	702	1187
ST3GAL1	3827	4804	5982
MAPK8IP2	11	18	28
RHOBTB2	224	328	508
SEC62	2883	3405	4131
UBE3C	2188	2558	2963
FAM76A	494	577	680
BAZ1B	3920	4728	5618
ETV7	31	60	103
DYRK4	146	204	276
STARD3NL	815	994	1181
CD9	1734	3804	6866
PHF7	354	422	499
SEMA3G	13	23	48
STAB1	186	568	1707
FUZ	253	305	364
PRSS3	1	2	5
LRRC23	126	164	211
HFE	28	44	69
SCMH1	2403	3062	3766
FYN	1996	2858	3924
HIVEP2	2642	3697	4940
MRC2	73	164	338
TSPAN9	54	122	271
TTC19	1194	1398	1628
QPCTL	176	237	338
CEP68	2055	2953	3838
ERCC1	1333	1607	1976
CD22	4747	6608	8978
ELOVL5	2514	3176	4151
ALOX5	2247	5232	8909
EHD3	495	716	1007
MVP	1353	1774	2323
NUB1	2481	2910	3475
PGM3	443	558	695
RWDD2A	49	69	92
MAMLD1	49	109	214
UFL1	1284	1584	1938
ZMYND11	1887	2424	2883
DPEP1	576	1854	4141
BID	609	786	1014
ATP2C1	1852	2172	2544
RUFY3	1106	1571	2354
WWTR1	7	11	19
AGPS	1452	2252	3294
ZNF582	63	87	112
VSIG2	2	5	15
PHLDB1	75	126	203
PRDM11	99	139	186
CD74	54343	71989	102243
HGF	128	254	482
ADGRA2	11	20	40
SAMD4A	215	421	721
PLEKHB1	34	55	88
SERPINB1	2093	2920	4125
NRXN3	73	339	1243
OSBPL5	448	625	891
CPS1	6	11	21
FHL1	2061	3257	4983
NLRP2	27	67	259
SLC45A4	112	207	358
GRAMD1B	798	1122	1567
ALAS1	549	680	817
ABCC2	99	132	177
PLEKHO1	2635	3230	3998
GCLM	224	336	550
EHD2	8	20	82
CCDC28A	512	619	755
RRAGD	423	643	964
TOMM34	524	640	782
RNASET2	2299	3250	4477
CD44	4165	7159	11197
KCNG1	5	11	23
AGPAT4	160	376	730
PRKCH	1750	2692	3770
INSRR	1	2	4
IFNGR1	1026	1320	1740
SH2D2A	48	86	152
