Kingdom	Phylum	Class	Order	Family	Genus	Species	Full_name	Heterotroph	Autotroph	Organotroph	Lithotroph	Chemotroph	Phototroph	Copiotroph_Diazotroph	Methylotroph	Oligotroph
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	cryptum	Acidiphilium cryptum Harrison 1981	1	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseococcus	thiosulfatophilus	Roseococcus thiosulfatophilus Yurkov et al. 1994	0.25	0	0.25	0	0.25	0.25	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillales_Incertae_Sedis	Stella	humosa	Stella humosa Vasilyeva 1985	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Azospirillales	Azospirillales_Incertae_Sedis	Stella	vacuolata	Stella vacuolata Vasilyeva 1985	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisoma	tundrae	Acidisoma tundrae Belova et al. 2009	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisoma	sibiricum	Acidisoma sibiricum Belova et al. 2009	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succinispira	mobilis	Succinispira mobilis Janssen and O'Farrell 1999	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	ferrooxidans	Acidimicrobium ferrooxidans Clark and Norris 1996 emend. Nouioui et al. 2018	0.5	0.5	0	0	0	0	0	0	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	rosea	Granulicella rosea Pankratov and Dedysh 2010	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	pectinivorans	Granulicella pectinivorans Pankratov and Dedysh 2010	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	aggregans	Granulicella aggregans Pankratov and Dedysh 2010	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	paludicola	Granulicella paludicola Pankratov and Dedysh 2010	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Telmatobacter	bradus	Telmatobacter bradus Pankratov et al. 2012	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Bryocella	elongata	Bryocella elongata Dedysh et al. 2012	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	media	Aeromonas media Allen et al. 1983	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	encheleia	Aeromonas encheleia Esteve et al. 1995 emend. Huys et al. 1997	0	0	0.5	0	0.5	0	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	simiae	Aeromonas simiae Harf-Monteil et al. 2004	0	0	0.5	0	0.5	0	0	0	0
