"繪圖標題：no.7"
"#","日期 時間, GMT+08:00","DO 濃度, mg/L (LGR S/N: 20266245, SEN S/N: 20266245)","溫度, °C (LGR S/N: 20266245, SEN S/N: 20266245)","未連接聯結器 (LGR S/N: 20266245)","已連接聯結器 (LGR S/N: 20266245)","連接的主機 (LGR S/N: 20266245)","已停止 (LGR S/N: 20266245)","檔案結尾 (LGR S/N: 20266245)"
1,04/08/2024 下午12時00分00秒,7.69,25.86,,,,,
2,04/08/2024 下午12時30分00秒,7.67,26.02,,,,,
3,04/08/2024 下午01時00分00秒,7.65,26.20,,,,,
4,04/08/2024 下午01時30分00秒,7.64,26.34,,,,,
5,04/08/2024 下午02時00分00秒,7.58,26.54,,,,,
6,04/08/2024 下午02時30分00秒,7.56,26.64,,,,,
7,04/08/2024 下午03時00分00秒,7.52,26.98,,,,,
8,04/08/2024 下午03時30分00秒,7.47,27.42,,,,,
9,04/08/2024 下午04時00分00秒,7.42,27.84,,,,,
10,04/08/2024 下午04時30分00秒,7.34,28.22,,,,,
11,04/08/2024 下午05時00分00秒,7.32,28.34,,,,,
12,04/08/2024 下午05時30分00秒,7.39,27.28,,,,,
13,04/08/2024 下午06時00分00秒,7.63,25.68,,,,,
14,04/08/2024 下午06時30分00秒,7.88,24.24,,,,,
15,04/08/2024 下午07時00分00秒,7.99,23.24,,,,,
16,04/08/2024 下午07時30分00秒,8.06,22.92,,,,,
17,04/08/2024 下午08時00分00秒,8.04,23.30,,,,,
18,04/08/2024 下午08時30分00秒,7.92,23.66,,,,,
19,04/08/2024 下午09時00分00秒,7.96,22.74,,,,,
20,04/08/2024 下午09時30分00秒,8.13,22.38,,,,,
21,04/08/2024 下午10時00分00秒,8.09,23.06,,,,,
22,04/08/2024 下午10時30分00秒,8.02,23.74,,,,,
23,04/08/2024 下午11時00分00秒,7.96,24.28,,,,,
24,04/08/2024 下午11時30分00秒,7.90,24.70,,,,,
25,04/09/2024 上午12時00分00秒,7.83,25.04,,,,,
26,04/09/2024 上午12時30分00秒,7.82,25.30,,,,,
27,04/09/2024 上午01時00分00秒,7.76,25.50,,,,,
28,04/09/2024 上午01時30分00秒,7.74,25.64,,,,,
29,04/09/2024 上午02時00分00秒,7.74,25.72,,,,,
30,04/09/2024 上午02時30分00秒,7.73,25.76,,,,,
31,04/09/2024 上午03時00分00秒,7.72,25.78,,,,,
32,04/09/2024 上午03時30分00秒,7.73,25.76,,,,,
33,04/09/2024 上午04時00分00秒,7.73,25.72,,,,,
34,04/09/2024 上午04時30分00秒,7.75,25.68,,,,,
35,04/09/2024 上午05時00分00秒,7.75,25.60,,,,,
36,04/09/2024 上午05時30分00秒,7.78,25.52,,,,,
37,04/09/2024 上午06時00分00秒,7.79,25.42,,,,,
38,04/09/2024 上午06時30分00秒,7.81,25.30,,,,,
