VAR	ENSEMBL	NAME
NFYA	ENSG00000001167	nuclear transcription factor Y subunit alpha
STPG1	ENSG00000001460	sperm tail PG-rich repeat containing 1
SEMA3F	ENSG00000001617	semaphorin 3F
LAP3	ENSG00000002549	leucine aminopeptidase 3
CD99	ENSG00000002586	CD99 molecule (Xg blood group)
HS3ST1	ENSG00000002587	heparan sulfate-glucosamine 3-sulfotransferase 1
MAD1L1	ENSG00000002822	mitotic arrest deficient 1 like 1
LASP1	ENSG00000002834	LIM and SH3 protein 1
KLHL13	ENSG00000003096	kelch like family member 13
DBNDD1	ENSG00000003249	dysbindin domain containing 1
ALS2	ENSG00000003393	alsin Rho guanine nucleotide exchange factor ALS2
CASP10	ENSG00000003400	caspase 10
TFPI	ENSG00000003436	tissue factor pathway inhibitor
PLXND1	ENSG00000004399	plexin D1
CD38	ENSG00000004468	CD38 molecule
FKBP4	ENSG00000004478	FKBP prolyl isomerase 4
PDK4	ENSG00000004799	pyruvate dehydrogenase kinase 4
SLC22A16	ENSG00000004809	solute carrier family 22 member 16
SLC25A13	ENSG00000004864	solute carrier family 25 member 13
HCCS	ENSG00000004961	holocytochrome c synthase
SKAP2	ENSG00000005020	src kinase associated phosphoprotein 2
MCUB	ENSG00000005059	mitochondrial calcium uniporter dominant negative subunit beta
THSD7A	ENSG00000005108	thrombospondin type 1 domain containing 7A
ACSM3	ENSG00000005187	acyl-CoA synthetase medium chain family member 3
PRKAR2B	ENSG00000005249	protein kinase cAMP-dependent type II regulatory subunit beta
TSPOAP1	ENSG00000005379	TSPO associated protein 1
SOX8	ENSG00000005513	SRY-box transcription factor 8
ZNF195	ENSG00000005801	zinc finger protein 195
ITGAL	ENSG00000005844	integrin subunit alpha L
ITGA3	ENSG00000005884	integrin subunit alpha 3
YBX2	ENSG00000006047	Y-box binding protein 2
AP2B1	ENSG00000006125	adaptor related protein complex 2 subunit beta 1
SPATA20	ENSG00000006282	spermatogenesis associated 20
MAP3K9	ENSG00000006432	mitogen-activated protein kinase kinase kinase 9
KDM7A	ENSG00000006459	lysine demethylase 7A
ALDH3B1	ENSG00000006534	aldehyde dehydrogenase 3 family member B1
TBXA2R	ENSG00000006638	thromboxane A2 receptor
SCIN	ENSG00000006747	scinderin
ARSD	ENSG00000006756	arylsulfatase D
PNPLA4	ENSG00000006757	patatin like phospholipase domain containing 4
PROM1	ENSG00000007062	prominin 1
CEACAM21	ENSG00000007129	CEA cell adhesion molecule 21
PAFAH1B1	ENSG00000007168	platelet activating factor acetylhydrolase 1b regulatory subunit 1
GAS7	ENSG00000007237	growth arrest specific 7
MATK	ENSG00000007264	megakaryocyte-associated tyrosine kinase
SCN4A	ENSG00000007314	sodium voltage-gated channel alpha subunit 4
RHBDF1	ENSG00000007384	rhomboid 5 homolog 1
CACNA2D2	ENSG00000007402	calcium voltage-gated channel auxiliary subunit alpha2delta 2
TEAD3	ENSG00000007866	TEA domain transcription factor 3
E2F2	ENSG00000007968	E2F transcription factor 2
ADAM22	ENSG00000008277	ADAM metallopeptidase domain 22
CYB561	ENSG00000008283	cytochrome b561
CELSR3	ENSG00000008300	cadherin EGF LAG seven-pass G-type receptor 3
AASS	ENSG00000008311	aminoadipate-semialdehyde synthase
NFIX	ENSG00000008441	nuclear factor I X
ST3GAL1	ENSG00000008513	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
MAPK8IP2	ENSG00000008735	mitogen-activated protein kinase 8 interacting protein 2
RHOBTB2	ENSG00000008853	Rho related BTB domain containing 2
UBE3C	ENSG00000009335	ubiquitin protein ligase E3C
FAM76A	ENSG00000009780	family with sequence similarity 76 member A
BAZ1B	ENSG00000009954	bromodomain adjacent to zinc finger domain 1B
ETV7	ENSG00000010030	ETS variant transcription factor 7
DYRK4	ENSG00000010219	dual specificity tyrosine phosphorylation regulated kinase 4
CD9	ENSG00000010278	CD9 molecule
PHF7	ENSG00000010318	PHD finger protein 7
SEMA3G	ENSG00000010319	semaphorin 3G
STAB1	ENSG00000010327	stabilin 1
FUZ	ENSG00000010361	fuzzy planar cell polarity protein
PRSS3	ENSG00000010438	serine protease 3
LRRC23	ENSG00000010626	leucine rich repeat containing 23
HFE	ENSG00000010704	homeostatic iron regulator
SCMH1	ENSG00000010803	Scm polycomb group protein homolog 1
MRC2	ENSG00000011028	mannose receptor C type 2
TSPAN9	ENSG00000011105	tetraspanin 9
TTC19	ENSG00000011295	tetratricopeptide repeat domain 19
QPCTL	ENSG00000011478	glutaminyl-peptide cyclotransferase like
CEP68	ENSG00000011523	centrosomal protein 68
ERCC1	ENSG00000012061	ERCC excision repair 1, endonuclease non-catalytic subunit
CD22	ENSG00000012124	CD22 molecule
ELOVL5	ENSG00000012660	ELOVL fatty acid elongase 5
ALOX5	ENSG00000012779	arachidonate 5-lipoxygenase
EHD3	ENSG00000013016	EH domain containing 3
MVP	ENSG00000013364	major vault protein
NUB1	ENSG00000013374	negative regulator of ubiquitin like proteins 1
PGM3	ENSG00000013375	phosphoglucomutase 3
RWDD2A	ENSG00000013392	RWD domain containing 2A
MAMLD1	ENSG00000013619	mastermind like domain containing 1
UFL1	ENSG00000014123	UFM1 specific ligase 1
ZMYND11	ENSG00000015171	zinc finger MYND-type containing 11
DPEP1	ENSG00000015413	dipeptidase 1
BID	ENSG00000015475	BH3 interacting domain death agonist
ATP2C1	ENSG00000017260	ATPase secretory pathway Ca2+ transporting 1
RUFY3	ENSG00000018189	RUN and FYVE domain containing 3
WWTR1	ENSG00000018408	WW domain containing transcription regulator 1
ZNF582	ENSG00000018869	zinc finger protein 582
VSIG2	ENSG00000019102	V-set and immunoglobulin domain containing 2
PHLDB1	ENSG00000019144	pleckstrin homology like domain family B member 1
PRDM11	ENSG00000019485	PR/SET domain 11
CD74	ENSG00000019582	CD74 molecule
HGF	ENSG00000019991	hepatocyte growth factor
ADGRA2	ENSG00000020181	adhesion G protein-coupled receptor A2
SAMD4A	ENSG00000020577	sterile alpha motif domain containing 4A
PLEKHB1	ENSG00000021300	pleckstrin homology domain containing B1
NRXN3	ENSG00000021645	neurexin 3
CPS1	ENSG00000021826	carbamoyl-phosphate synthase 1
FHL1	ENSG00000022267	four and a half LIM domains 1
NLRP2	ENSG00000022556	NLR family pyrin domain containing 2
SLC45A4	ENSG00000022567	solute carrier family 45 member 4
GRAMD1B	ENSG00000023171	GRAM domain containing 1B
ALAS1	ENSG00000023330	5'-aminolevulinate synthase 1
ABCC2	ENSG00000023839	ATP binding cassette subfamily C member 2
PLEKHO1	ENSG00000023902	pleckstrin homology domain containing O1
GCLM	ENSG00000023909	glutamate-cysteine ligase modifier subunit
EHD2	ENSG00000024422	EH domain containing 2
RRAGD	ENSG00000025039	Ras related GTP binding D
HSD17B6	ENSG00000025423	hydroxysteroid 17-beta dehydrogenase 6
TOMM34	ENSG00000025772	translocase of outer mitochondrial membrane 34
RNASET2	ENSG00000026297	ribonuclease T2
CD44	ENSG00000026508	CD44 molecule (Indian blood group)
KCNG1	ENSG00000026559	potassium voltage-gated channel modifier subfamily G member 1
AGPAT4	ENSG00000026652	1-acylglycerol-3-phosphate O-acyltransferase 4
PRKCH	ENSG00000027075	protein kinase C eta
INSRR	ENSG00000027644	insulin receptor related receptor
IFNGR1	ENSG00000027697	interferon gamma receptor 1
SH2D2A	ENSG00000027869	SH2 domain containing 2A
TNFRSF1B	ENSG00000028137	TNF receptor superfamily member 1B
ARNTL2	ENSG00000029153	aryl hydrocarbon receptor nuclear translocator like 2
HMGB3	ENSG00000029993	high mobility group box 3
NUP160	ENSG00000030066	nucleoporin 160
